arch,speaker,index,proc,ongoing,azimuth,elevation
I,0,1,RX8_1,24,0,0
I,1,2,RX8_1,23,0,12.5
I,2,3,RX8_1,22,0,25
I,3,4,RX8_1,21,0,37.5
,,5,RX8_1,,,
II,-3,6,RX8_1,35,17.5,-37.5
II,-2,7,RX8_1,34,17.5,-25
II,-1,8,RX8_1,33,17.5,-12.5
III,0,9,RX8_1,16,-17.5,0
III,1,10,RX8_1,15,-17.5,12.5
III,2,11,RX8_1,14,-17.5,25
III,3,12,RX8_1,13,-17.5,37.5
I,-4,13,RX8_1,28,0,-50
I,-3,14,RX8_1,27,0,-37.5
I,-2,15,RX8_1,26,0,-25
I,-1,16,RX8_1,25,0,-12.5
II,1,17,RX8_1,31,17.5,12.5
II,0,18,RX8_1,32,17.5,0
II,3,19,RX8_1,29,17.5,37.5
II,2,20,RX8_1,30,17.5,25
IV,-2,21,RX8_1,41,35,-25
IV,-3,22,RX8_1,42,35,-37.5
IV,0,23,RX8_1,39,35,0
IV,-1,24,RX8_1,40,35,-12.5
V,0,1,RX8_2,9,-35,0
V,-1,2,RX8_2,10,-35,-12.5
V,2,3,RX8_2,7,-35,25
V,1,4,RX8_2,8,-35,12.5
III,-3,5,RX8_2,19,-17.5,-37.5
V,3,6,RX8_2,6,-35,37.5
III,-1,7,RX8_2,17,-17.5,-12.5
III,-2,8,RX8_2,18,-17.5,-25
VI,1,9,RX8_2,44,52.5,12.5
IV,2,10,RX8_2,37,35,25
VI,-1,11,RX8_2,46,52.5,-12.5
VI,-2,12,RX8_2,47,52.5,-25
IV,3,13,RX8_2,36,35,37.5
VI,0,14,RX8_2,45,52.5,0
IV,1,15,RX8_2,38,35,12.5
VI,2,16,RX8_2,43,52.5,25
V,-3,17,RX8_2,12,-35,-37.5
VII,-2,18,RX8_2,5,-52.5,-25
VII,1,19,RX8_2,2,-52.5,12.5
VII,0,20,RX8_2,3,-52.5,0
VII,-1,21,RX8_2,4,-52.5,-12.5
VII,2,22,RX8_2,1,-52.5,25
I,4,23,RX8_2,20,0,50
V,-2,24,RX8_2,11,-35,-25
